nom;commune;insee;address;openinghours;acceshandi;telephone;url;wikipedia;source;gid;lon;lat
Espace culturel du christianisme à Lyon;Lyon 5e Arrondissement;69385;"{'postalCode': '69005', 'streetAddress': "Place de l'Antiquaille", 'addressCountry': 'FR', 'addressLocality': 'Lyon 5e Arrondissement'}";"[]";;;;fr:Espace culturel du christianisme à Lyon;Open Street Map;2;4,8231111;45,7600362
Centre d'Histoire de la Résistance et de la Déportation;Lyon 7e Arrondissement;69387;"{'postalCode': '69007', 'streetAddress': '24 Rue Etienne Rognon', 'addressCountry': 'FR', 'addressLocality': 'Lyon 7e Arrondissement'}";"[]";True;+33478722311;http://www.chrd.lyon.fr;;Open Street Map;14;4,8359519;45,7464306
Musée Africain;Lyon 7e Arrondissement;69387;"{'postalCode': '69007', 'streetAddress': '150 Cours Gambetta', 'addressCountry': 'FR', 'addressLocality': 'Lyon 7e Arrondissement'}";"[]";False;+33478616098;http://www.musee-africain-lyon.org/;fr:Musée africain de Lyon;Open Street Map;11;4,8577773;45,7499594
Musée urbain Tony Garnier;Lyon 8e Arrondissement;69388;"{'postalCode': '69008', 'streetAddress': '4 Rue des Serpollières', 'addressCountry': 'FR', 'addressLocality': 'Lyon 8e Arrondissement'}";"[]";;;;;Open Street Map;27;4,8629827;45,7335086
Centre d'art contemporain du Fort du Bruissin;Francheville;69089;"{'postalCode': '69340', 'streetAddress': '7 Rue du Clos des Coquilles', 'addressCountry': 'FR', 'addressLocality': 'Francheville'}";"[]";;;;;Open Street Map;18;4,7385345;45,7305319
Musée Miniature et Cinéma;Lyon 5e Arrondissement;69385;"{'postalCode': '69005', 'streetAddress': '60 Rue Saint Jean', 'addressCountry': 'FR', 'addressLocality': 'Lyon 5e Arrondissement'}";"['Mo-Fr 10:00-18:30', 'Sa,Su 10:00-19:00', 'SH,Mo-Su 10:00-19:00']";;+33472002477;https://www.museeminiatureetcinema.fr/;fr:Musée des miniatures et décors de cinéma;Open Street Map;3;4,8272985;45,7618753
Institut d'art contemporain;Villeurbanne;69266;"{'postalCode': '69100', 'streetAddress': '11 Rue Docteur Dolard', 'addressCountry': 'FR', 'addressLocality': 'Villeurbanne'}";"['we-fr 14:00-18:00, sa-su 13:00-19:00']";;;http://i-ac.eu/;fr:Institut d'art contemporain de Villeurbanne;Open Street Map;5;4,8727591;45,7625393
Musée de l'automobile Henri Malartre;Rochetaillée-sur-Saône;69168;"{'postalCode': '69270', 'streetAddress': '645 Rue du Musée', 'addressCountry': 'FR', 'addressLocality': 'Rochetaillée-sur-Saône'}";"['Jan Sa,Su 10:30-18:00', 'Feb-Dec Tu-Su 10:30-18:00', 'Feb-Dec Fr[3] 13:00-18:00', 'Dec 25,Jan 01 off']";;+33478221880;www.musee-malartre.com/;;Open Street Map;10;4,8371587;45,8449493
Fondation Bullukian;Lyon 2e Arrondissement;69382;"{'postalCode': '69002', 'streetAddress': '2 Rue Victor Hugo', 'addressCountry': 'FR', 'addressLocality': 'Lyon 2e Arrondissement'}";"['Tu-Fr 14:00-18:00', 'Sa 10:00-12:00, 14:00-19:00']";True;;;;Open Street Map;7;4,8311949;45,7567639
Musée Testut-Latarjet;Lyon 8e Arrondissement;69388;"{'postalCode': '69008', 'streetAddress': '10 Avenue Rockefeller', 'addressCountry': 'FR', 'addressLocality': 'Lyon 8e Arrondissement'}";"[]";;;;fr:Musée Testut-Latarjet;Open Street Map;19;4,8806183;45,7417187
Musée d'histoire de la médecine et de la pharmacie de Lyon;Lyon 8e Arrondissement;69388;"{'postalCode': '69008', 'streetAddress': '25 Rue Laennec', 'addressCountry': 'FR', 'addressLocality': 'Lyon 8e Arrondissement'}";"[]";;;;fr:Musée d'histoire de la médecine et de la pharmacie de Lyon;Open Street Map;15;4,8805413;45,7414332
Entrée du musée gallo-romain de Lyon;Lyon 5e Arrondissement;69385;"{'postalCode': '69005', 'streetAddress': "6 Rue de l'Antiquaille", 'addressCountry': 'FR', 'addressLocality': 'Lyon 5e Arrondissement'}";"[]";;;;;Open Street Map;26;4,8211073;45,759028
Boutique Souvenirs du Petit Musée de Guignol;Lyon 5e Arrondissement;69385;"{'postalCode': '69005', 'streetAddress': '6 Rue Saint Jean', 'addressCountry': 'FR', 'addressLocality': 'Lyon 5e Arrondissement'}";"['Mo-Su,PH 10:30-13:00,14:00-19:30']";;+33478370167;http://www.vieuxlyonsouvenirs.com;;Open Street Map;17;4,8281374;45,7639034
Maison des mathématiques et de l'informatique;Lyon 7e Arrondissement;69387;"{'postalCode': '69007', 'streetAddress': "1 Place de l'Ecole", 'addressCountry': 'FR', 'addressLocality': 'Lyon 7e Arrondissement'}";"['Sa 14:30-16:00,16:15-17:45', 'We 14:00-15:15,15:30-16:45']";;;http://www.mmi-lyon.fr/;;Open Street Map;6;4,8280106;45,7299317
Musée de l'Aviation Clément Ader;Corbas;69273;"{'postalCode': '69960', 'streetAddress': '203 Route de Marennes', 'addressCountry': 'FR', 'addressLocality': 'Corbas'}";"['Mo, We-Su 14:00-18:00']";;;;;Open Street Map;29;4,9096586;45,6536343
Institut Lumière;Lyon 8e Arrondissement;69388;"{'postalCode': '69008', 'streetAddress': '25 Rue du Premier Film', 'addressCountry': 'FR', 'addressLocality': 'Lyon 8e Arrondissement'}";"['Tu-Su 10:00-18:30']";;+33478781895;http://institut-lumiere.org;;Open Street Map;4;4,8706151;45,7450881
La taverne Gutenberg;Lyon 3e Arrondissement;69383;"{'postalCode': '69003', 'streetAddress': '7 Rue Gutenberg', 'addressCountry': 'FR', 'addressLocality': 'Lyon 3e Arrondissement'}";"['We-Sa 14:00-21:00', 'Su 14:00-19:00']";;;http://www.taverne-gutenberg.com;;Open Street Map;8;4,8433713;45,7568424
Maison des Canuts;Lyon 4e Arrondissement;69384;"{'postalCode': '69004', 'streetAddress': "10 Rue d'Ivry", 'addressCountry': 'FR', 'addressLocality': 'Lyon 4e Arrondissement'}";"[]";;+33478286204;https://www.maisondescanuts.fr/;fr:Maison des Canuts;Open Street Map;30;4,8336847;45,777106
Musée Jean Couty;Lyon 9e Arrondissement;69389;"{'postalCode': '69009', 'streetAddress': '1 Quai Paul Sédallian', 'addressCountry': 'FR', 'addressLocality': 'Lyon 9e Arrondissement'}";"[]";;;;fr:Musée Jean Couty;Open Street Map;9;4,8293795;45,7979255
Atelier Mattelon;Lyon 4e Arrondissement;69384;"{'postalCode': '69004', 'streetAddress': '10 Rue Richan', 'addressCountry': 'FR', 'addressLocality': 'Lyon 4e Arrondissement'}";"[]";;;https://www.lyon-france.com/Je-decouvre-Lyon/culture-et-musees/Musees/atelier-de-tissage-mattelon;;Open Street Map;31;4,8353898;45,7801248
Entre'Vue;Charbonnières-les-Bains;69044;"{'postalCode': '69260', 'streetAddress': '23 Avenue Général de Gaulle', 'addressCountry': 'FR', 'addressLocality': 'Charbonnières-les-Bains'}";"[]";;;;;Open Street Map;32;4,7359961;45,7840258
Musée des Moulages;Lyon 3e Arrondissement;69383;"{'postalCode': '69003', 'streetAddress': '87 Cours Gambetta', 'addressCountry': 'FR', 'addressLocality': 'Lyon 3e Arrondissement'}";"['We, Sa 14:00-18:00']";;+33487248063;;fr:Musée des Moulages (Lyon);Open Street Map;16;4,8543123;45,7515932
Musée des Hospices Civils de Lyon;Lyon 2e Arrondissement;69382;"{'postalCode': '69002', 'streetAddress': '3 Quai des Célestins', 'addressCountry': 'FR', 'addressLocality': 'Lyon 2e Arrondissement'}";"[]";;+33789870185;https://www.chu-lyon.fr/fr/musee-des-hcl;;Open Street Map;12;4,8315116;45,7608407
Cité Internationale de la Gastronomie de Lyon;Lyon 2e Arrondissement;69382;"{'postalCode': '69002', 'streetAddress': '7 Grand Cloître', 'addressCountry': 'FR', 'addressLocality': 'Lyon 2e Arrondissement'}";"[]";;;https://citegastronomielyon.fr/;;Open Street Map;20;4,8362144;45,7596898
Musé Manufacture Sève Cacao Collection Chocolat;Limonest;69116;"{'postalCode': '69760', 'streetAddress': '324 Allée des Frènes', 'addressCountry': 'FR', 'addressLocality': 'Limonest'}";"[]";;;;fr:MUSCO;Open Street Map;21;4,7725724;45,8144541
Musée des Automates;Lyon 5e Arrondissement;69385;"{'postalCode': '69005', 'streetAddress': '100 Rue Saint Georges', 'addressCountry': 'FR', 'addressLocality': 'Lyon 5e Arrondissement'}";"[]";;;;;Open Street Map;1;4,8241272;45,7561934
